Ref,Val,Package,PosX,PosY,Rot,Side
"D22","WS2812B","WS2812_2020",20.800000,-7.100000,180.000000,top
"D23","WS2812B","WS2812_2020",25.300000,-7.100000,180.000000,top
"D24","WS2812B","WS2812_2020",29.800000,-7.100000,180.000000,top
"D25","WS2812B","WS2812_2020",34.300000,-7.100000,180.000000,top
"D26","WS2812B","WS2812_2020",2.800000,-11.600000,0.000000,top
"D27","WS2812B","WS2812_2020",7.300000,-11.600000,0.000000,top
"D28","WS2812B","WS2812_2020",11.800000,-11.600000,0.000000,top
"D29","WS2812B","WS2812_2020",16.300000,-11.600000,0.000000,top
"D30","WS2812B","WS2812_2020",20.800000,-11.600000,0.000000,top
"D31","WS2812B","WS2812_2020",25.300000,-11.600000,0.000000,top
"D32","WS2812B","WS2812_2020",29.800000,-11.600000,0.000000,top
"D33","WS2812B","WS2812_2020",34.300000,-11.600000,0.000000,top
"D34","WS2812B","WS2812_2020",2.800000,-16.100000,180.000000,top
"D35","WS2812B","WS2812_2020",7.300000,-16.100000,180.000000,top
"D36","WS2812B","WS2812_2020",11.800000,-16.100000,180.000000,top
"D37","WS2812B","WS2812_2020",16.300000,-16.100000,180.000000,top
"D38","WS2812B","WS2812_2020",20.800000,-16.100000,180.000000,top
"D39","WS2812B","WS2812_2020",25.300000,-16.100000,180.000000,top
"D40","WS2812B","WS2812_2020",29.800000,-16.100000,180.000000,top
"D41","WS2812B","WS2812_2020",34.300000,-16.100000,180.000000,top
"D42","WS2812B","WS2812_2020",2.800000,-20.600000,0.000000,top
"D43","WS2812B","WS2812_2020",7.300000,-20.600000,0.000000,top
"D44","WS2812B","WS2812_2020",11.800000,-20.600000,0.000000,top
"D45","WS2812B","WS2812_2020",16.300000,-20.600000,0.000000,top
"D46","WS2812B","WS2812_2020",20.800000,-20.600000,0.000000,top
"D47","WS2812B","WS2812_2020",25.300000,-20.600000,0.000000,top
"D48","WS2812B","WS2812_2020",29.800000,-20.600000,0.000000,top
"D49","WS2812B","WS2812_2020",34.300000,-20.600000,0.000000,top
"D50","WS2812B","WS2812_2020",2.800000,-25.100000,180.000000,top
"D51","WS2812B","WS2812_2020",7.300000,-25.100000,180.000000,top
"D52","WS2812B","WS2812_2020",11.800000,-25.100000,180.000000,top
"D53","WS2812B","WS2812_2020",16.300000,-25.100000,180.000000,top
"D54","WS2812B","WS2812_2020",20.800000,-25.100000,180.000000,top
"D55","WS2812B","WS2812_2020",25.300000,-25.100000,180.000000,top
"D56","WS2812B","WS2812_2020",29.800000,-25.100000,180.000000,top
"D57","WS2812B","WS2812_2020",34.300000,-25.100000,180.000000,top
"D58","WS2812B","WS2812_2020",2.800000,-29.600000,0.000000,top
"D59","WS2812B","WS2812_2020",7.300000,-29.600000,0.000000,top
"D60","WS2812B","WS2812_2020",11.800000,-29.600000,0.000000,top
"D61","WS2812B","WS2812_2020",16.300000,-29.600000,0.000000,top
"D62","WS2812B","WS2812_2020",20.800000,-29.600000,0.000000,top
"D63","WS2812B","WS2812_2020",25.300000,-29.600000,0.000000,top
"D64","WS2812B","WS2812_2020",29.800000,-29.600000,0.000000,top
"D65","WS2812B","WS2812_2020",34.300000,-29.600000,0.000000,top
"D66","WS2812B","WS2812_2020",2.800000,-34.100000,180.000000,top
"D67","WS2812B","WS2812_2020",7.300000,-34.100000,180.000000,top
"D68","WS2812B","WS2812_2020",11.800000,-34.100000,180.000000,top
"D69","WS2812B","WS2812_2020",16.300000,-34.100000,180.000000,top
"D70","WS2812B","WS2812_2020",20.800000,-34.100000,180.000000,top
"D71","WS2812B","WS2812_2020",25.300000,-34.100000,180.000000,top
"D72","WS2812B","WS2812_2020",29.800000,-34.100000,180.000000,top
"D73","WS2812B","WS2812_2020",34.300000,-34.100000,180.000000,top
"U1","ESP32-C6-WROOM-1","ESP32-C6-WROOM-1",46.900000,-17.450000,0.000000,top
